relativetimestamp,antennastate,prxetc,phaserads,x,y,epc96
5330582,1,16.70556704,3.564971351,0,1,e280116060000209e445ba0a
5350193,1,16.70556704,3.583379121,0,1,e280116060000209e445ba0a
5370623,1,16.70556704,3.552699505,0,1,e280116060000209e445ba0a
5388792,1,33.70549305,2.454369261,1,0,e280116060000209e4454c2a
5410459,1,32.70549305,2.184388642,1,0,e280116060000209e4454c2a
5430186,1,16.70549305,5.571418222,0,1,e280116060000209e445ba0a
5443099,1,33.70549305,2.184388642,1,0,e280116060000209e4454c2a
5455739,1,31.70549305,3.043417883,0,0,e280116060000209e4454a0a
5480264,1,16.70549305,5.571418222,0,1,e280116060000209e445ba0a
5492650,1,34.70549305,2.454369261,1,0,e280116060000209e4454c2a
5520072,1,31.70549305,2.816388727,0,0,e280116060000209e4454a0a
5532825,1,16.70549305,5.553010452,0,1,e280116060000209e445ba0a
5545239,1,16.70549305,5.553010452,0,1,e280116060000209e445ba0a
5570548,1,32.70549305,6.086835766,1,1,e280116060000209e445f01a
5596144,1,16.70541381,0.398835005,0,1,e280116060000209e445ba0a
5620227,1,15.70541381,0.404970928,0,1,e280116060000209e445ba0a
5640349,1,16.70541381,0.398835005,0,1,e280116060000209e445ba0a
5660265,1,16.70541381,0.398835005,0,1,e280116060000209e445ba0a
5680453,1,16.70541381,0.404970928,0,1,e280116060000209e445ba0a
5692995,1,16.70541381,0.386563159,0,1,e280116060000209e445ba0a
5720213,1,15.70541381,0.386563159,0,1,e280116060000209e445ba0a
5732848,1,15.70541381,0.404970928,0,1,e280116060000209e445ba0a
5760053,1,16.70541381,0.411106851,0,1,e280116060000209e445ba0a
5780195,1,16.70541381,0.404970928,0,1,e280116060000209e445ba0a
5800309,1,16.70532935,0.006135923,0,1,e280116060000209e445ba0a
5813540,1,32.70532935,3.706097584,0,0,e280116060000209e4454a0a
5825955,1,32.70532935,3.761320892,0,0,e280116060000209e4454a0a
5838143,1,32.70532935,3.871767509,0,0,e280116060000209e4454a0a
5860303,1,16.70532935,0.024543693,0,1,e280116060000209e445ba0a
5872968,1,34.70532935,6.111379459,1,1,e280116060000209e445f01a
5885466,1,16.70532935,0.061359232,0,1,e280116060000209e445ba0a
5897804,1,16.70532935,0.012271846,0,1,e280116060000209e445ba0a
5920453,1,35.70532935,3.319534425,1,0,e280116060000209e4454c2a
5933002,1,35.70532935,3.055689729,1,0,e280116060000209e4454c2a
5960305,1,16.70532935,0.006135923,0,1,e280116060000209e445ba0a
5980337,1,32.70532935,3.736777199,0,0,e280116060000209e4454a0a
6006099,1,16.70523965,4.221515128,0,1,e280116060000209e445ba0a
6030491,1,32.70523965,4.957825906,1,1,e280116060000209e445f01a
6050588,1,16.70523965,4.227651051,0,1,e280116060000209e445ba0a
6070592,1,16.70523965,4.221515128,0,1,e280116060000209e445ba0a
6090123,1,33.70523965,5.190990986,1,1,e280116060000209e445f01a
6103349,1,16.70523965,4.221515128,0,1,e280116060000209e445ba0a
6116546,1,33.70523965,0.441786467,1,0,e280116060000209e4454c2a
6128985,1,33.70523965,0.092038847,1,0,e280116060000209e4454c2a
6150893,1,15.70523965,4.209243282,0,1,e280116060000209e445ba0a
6170346,1,16.70523965,4.233786975,0,1,e280116060000209e445ba0a
6190135,1,31.70523965,0.932660319,0,0,e280116060000209e4454a0a
6213617,1,16.70514472,0.165669925,0,1,e280116060000209e445ba0a
6230158,1,16.70514472,0.153398079,0,1,e280116060000209e445ba0a
6243893,1,31.70514472,1.601475943,1,0,e280116060000209e4454c2a
6273149,1,16.70514472,0.177941771,0,1,e280116060000209e445ba0a
6286670,1,16.70514472,0.153398079,0,1,e280116060000209e445ba0a
6319973,1,16.70514472,0.159534002,0,1,e280116060000209e445ba0a
6344593,1,33.70514472,1.914408023,1,0,e280116060000209e4454c2a
6360250,1,16.70514472,0.171805848,0,1,e280116060000209e445ba0a
6375749,1,16.70514472,0.165669925,0,1,e280116060000209e445ba0a
6389460,1,16.70514472,0.141126232,0,1,e280116060000209e445ba0a
6403176,1,31.70514472,1.668971097,1,0,e280116060000209e4454c2a
6420980,1,33.70504458,4.620350133,1,1,e280116060000209e445f01a
6433936,1,15.70504458,3.706097584,0,1,e280116060000209e445ba0a
6460153,1,16.70504458,3.687689814,0,1,e280116060000209e445ba0a
6472928,1,16.70504458,3.69996166,0,1,e280116060000209e445ba0a
6500082,1,16.70504458,3.693825737,0,1,e280116060000209e445ba0a
6520106,1,16.70504458,3.687689814,0,1,e280116060000209e445ba0a
6540243,1,32.70504458,6.178874614,1,0,e280116060000209e4454c2a
6553161,1,33.70504458,4.460816131,1,1,e280116060000209e445f01a
6580097,1,33.70504458,0.018407769,1,0,e280116060000209e4454c2a
6600213,1,16.70504458,3.693825737,0,1,e280116060000209e445ba0a
6620356,1,16.70493923,0.300660234,0,1,e280116060000209e445ba0a
6640545,1,15.70493923,0.343611696,0,1,e280116060000209e445ba0a
6670205,1,16.70493923,0.34974762,0,1,e280116060000209e445ba0a
6683407,1,16.70493923,0.337475773,0,1,e280116060000209e445ba0a
6695821,1,16.70493923,0.312932081,0,1,e280116060000209e445ba0a
6708235,1,34.70493923,0.435650544,1,1,e280116060000209e445f01a
6720870,1,36.70493923,3.436116965,1,0,e280116060000209e4454c2a
6740290,1,15.70493923,0.337475773,0,1,e280116060000209e445ba0a
6752795,1,15.70493923,0.325203927,0,1,e280116060000209e445ba0a
6780499,1,16.70493923,0.319068004,0,1,e280116060000209e445ba0a
6792591,1,16.70493923,0.355883543,0,1,e280116060000209e445ba0a
6804820,1,32.70493923,3.724505353,0,0,e280116060000209e4454a0a
6823206,1,16.70482866,0.263844696,0,1,e280116060000209e445ba0a
6835630,1,16.70482866,0.288388388,0,1,e280116060000209e445ba0a
6848758,1,15.70482866,0.263844696,0,1,e280116060000209e445ba0a
6870691,1,16.70482866,0.276116542,0,1,e280116060000209e445ba0a
6884196,1,15.70482866,0.251572849,0,1,e280116060000209e445ba0a
6910206,1,16.70482866,0.288388388,0,1,e280116060000209e445ba0a
6930234,1,15.70482866,0.263844696,0,1,e280116060000209e445ba0a
6950151,1,16.70482866,0.227029157,0,1,e280116060000209e445ba0a
6963194,1,16.70482866,0.257708772,0,1,e280116060000209e445ba0a
7001754,1,16.70482866,0.282252465,0,1,e280116060000209e445ba0a
7027533,1,15.7047129,0.871301088,0,1,e280116060000209e445ba0a
7044023,1,15.7047129,0.859029241,0,1,e280116060000209e445ba0a
7063302,1,15.7047129,0.89584478,0,1,e280116060000209e445ba0a
7084090,1,15.7047129,0.846757395,0,1,e280116060000209e445ba0a
7112292,1,16.7047129,0.877437011,0,1,e280116060000209e445ba0a
7131019,1,15.7047129,0.889708857,0,1,e280116060000209e445ba0a
7162087,1,15.7047129,0.877437011,0,1,e280116060000209e445ba0a
7179527,1,15.7047129,0.883572934,0,1,e280116060000209e445ba0a
7201275,1,15.7047129,0.901980703,0,1,e280116060000209e445ba0a
7213708,1,15.7047129,0.908116626,0,1,e280116060000209e445ba0a
7235380,1,16.70459194,0.589048623,0,1,e280116060000209e445ba0a
7262673,1,15.70459194,0.589048623,0,1,e280116060000209e445ba0a
7291612,1,16.70459194,0.638136008,0,1,e280116060000209e445ba0a
7308301,1,16.70459194,0.619728238,0,1,e280116060000209e445ba0a
7343029,1,16.70459194,0.668815624,0,1,e280116060000209e445ba0a
7372664,1,16.70459194,0.607456392,0,1,e280116060000209e445ba0a
7402076,1,16.70459194,0.632000085,0,1,e280116060000209e445ba0a
7416278,1,15.70459194,0.632000085,0,1,e280116060000209e445ba0a
7440052,1,15.70446579,1.527844865,0,1,e280116060000209e445ba0a
7460185,1,15.70446579,1.583068173,0,1,e280116060000209e445ba0a
7490007,1,15.70446579,1.57693225,0,1,e280116060000209e445ba0a
7503053,1,15.70446579,1.540116711,0,1,e280116060000209e445ba0a
7530570,1,15.70446579,1.533980788,0,1,e280116060000209e445ba0a
7545726,1,15.70446579,1.583068173,0,1,e280116060000209e445ba0a
7593030,1,15.70446579,1.564660404,0,1,e280116060000209e445ba0a
7621378,1,15.70446579,1.564660404,0,1,e280116060000209e445ba0a
7643231,1,34.70433446,0.257708772,1,1,e280116060000209e445f01a
7654985,1,16.70433446,5.85980661,0,1,e280116060000209e445ba0a
7667920,1,36.70433446,2.785709111,1,0,e280116060000209e4454c2a
7681072,1,16.70433446,5.853670687,0,1,e280116060000209e445ba0a
7710177,1,35.70433446,2.613903263,1,0,e280116060000209e4454c2a
7730070,1,35.70433446,2.890019804,1,0,e280116060000209e4454c2a
7750354,1,16.70433446,5.865942533,0,1,e280116060000209e445ba0a
